nume_actiune,timestamp
READ_ALL_CLIENTS,2025-05-19 22:10:51
READ_ALL_CLIENTS,2025-05-19 22:16:44
READ_ALL_COMENZI,2025-05-19 22:16:44
READ_ALL_CLIENTS,2025-05-19 22:16:44
CREATE_PRODUS,2025-05-19 22:16:44
CREATE_PRODUS,2025-05-19 22:16:44
CREATE_PRODUS,2025-05-19 22:16:44
CREATE_CLIENT,2025-05-19 22:16:44
READ_ALL_CLIENTS,2025-05-19 22:16:44
READ_ALL_COMENZI,2025-05-19 22:16:44
CREATE_CLIENT,2025-05-19 22:16:44
READ_ALL_CLIENTS,2025-05-19 22:16:44
READ_ALL_COMENZI,2025-05-19 22:16:44
READ_ALL_COMENZI,2025-05-19 22:16:44
READ_ALL_CLIENTS,2025-05-19 22:16:44
READ_ALL_CLIENTS,2025-05-19 22:16:44
READ_ALL_COMENZI,2025-05-19 22:16:44
READ_ALL_COMENZI,2025-05-19 22:16:44
READ_ALL_PRODUSE,2025-05-19 22:16:44
READ_ALL_PRODUSE,2025-05-19 22:16:44
READ_ALL_CLIENTS,2025-05-19 22:17:52
READ_ALL_COMENZI,2025-05-19 22:17:52
READ_ALL_CLIENTS,2025-05-19 22:17:52
CREATE_PRODUS,2025-05-19 22:17:52
CREATE_PRODUS,2025-05-19 22:17:52
CREATE_PRODUS,2025-05-19 22:17:52
READ_ALL_CLIENTS,2025-05-19 22:17:52
READ_ALL_COMENZI,2025-05-19 22:17:52
READ_ALL_CLIENTS,2025-05-19 22:17:52
READ_ALL_COMENZI,2025-05-19 22:17:52
READ_ALL_COMENZI,2025-05-19 22:17:52
READ_ALL_CLIENTS,2025-05-19 22:17:52
READ_ALL_CLIENTS,2025-05-19 22:17:52
READ_ALL_COMENZI,2025-05-19 22:17:52
READ_ALL_COMENZI,2025-05-19 22:17:52
READ_ALL_PRODUSE,2025-05-19 22:17:52
READ_ALL_PRODUSE,2025-05-19 22:17:52
READ_ALL_CLIENTS,2025-05-19 22:24:57
READ_ALL_COMENZI,2025-05-19 22:24:57
READ_ALL_CLIENTS,2025-05-19 22:24:57
CREATE_PRODUS,2025-05-19 22:24:57
CREATE_PRODUS,2025-05-19 22:24:57
CREATE_PRODUS,2025-05-19 22:24:57
READ_ALL_CLIENTS,2025-05-19 22:24:57
READ_ALL_COMENZI,2025-05-19 22:24:57
READ_ALL_CLIENTS,2025-05-19 22:24:57
READ_ALL_COMENZI,2025-05-19 22:24:57
READ_ALL_COMENZI,2025-05-19 22:24:57
READ_ALL_CLIENTS,2025-05-19 22:24:57
READ_ALL_CLIENTS,2025-05-19 22:24:57
READ_ALL_COMENZI,2025-05-19 22:24:57
READ_ALL_COMENZI,2025-05-19 22:24:57
READ_ALL_PRODUSE,2025-05-19 22:24:57
READ_ALL_PRODUSE,2025-05-19 22:24:57
READ_ALL_CLIENTS,2025-05-19 22:28:27
READ_ALL_COMENZI,2025-05-19 22:28:27
READ_ALL_CLIENTS,2025-05-19 22:28:27
CREATE_PRODUS,2025-05-19 22:28:27
CREATE_PRODUS,2025-05-19 22:28:27
CREATE_PRODUS,2025-05-19 22:28:27
CREATE_CLIENT,2025-05-19 22:28:27
READ_ALL_CLIENTS,2025-05-19 22:28:27
READ_ALL_COMENZI,2025-05-19 22:28:27
CREATE_CLIENT,2025-05-19 22:28:27
READ_ALL_CLIENTS,2025-05-19 22:28:27
READ_ALL_COMENZI,2025-05-19 22:28:27
READ_ALL_COMENZI,2025-05-19 22:28:27
READ_ALL_CLIENTS,2025-05-19 22:28:27
READ_ALL_CLIENTS,2025-05-19 22:28:27
READ_ALL_COMENZI,2025-05-19 22:28:27
READ_ALL_COMENZI,2025-05-19 22:28:27
READ_ALL_PRODUSE,2025-05-19 22:28:27
READ_ALL_PRODUSE,2025-05-19 22:28:27
